Project,Relation Type,SATD A,SATD B
Hadoop,SATD Repayment,"[2019-04-01 15:57:58][Shashikant Banerjee][commit][ef5de292436db56547f05f42a745be32e2b38546]
HDDS-1312. Add more unit tests to verify BlockOutputStream functionalities. Contributed by Shashikant Banerjee.
","[2019-03-19 20:41:43][Shashikant Banerjee][issue:summary][HDDS-1312:13222672]
This jira aims to add more unit test coverage for BlockOutputStream functionalities."
Zookeeper,No Relation,"[2017-12-13 22:45:17][phunt][pull:comment][377:156808074]
Do we are have any room left for this? iiuc ttls are the last, no more space left to consider addl types.

My concern here - won't people be confused by this, e.g. ""are containers extended types""?

What do you think @Randgalt ?
","[2017-10-17 12:36:52][Jordan Zimmerman][issue:comment][ZOOKEEPER-2901:16207580]
Default is set back to false. I really don't think we need to deprecate the high bit as it's now documented and you have to opt in to it. So, keep using Server IDs up to 255 unless you want TTLS then it's 254."
Parquet Mr,SATD Duplication,"[2020-11-03 14:43:29][ggershinsky][pull:summary][841]
1. rename RemoteKmsClient class to LocalWrapKmsClient; it will be used only in rare situations where in-server wrapping in not supported. 

2. this also means the ""wrap.locally"" property is not needed anymore, making the API slightly simpler.
","[2020-11-01 06:25:24][Gidon Gershinsky][issue:summary][PARQUET-1939:13338257]
Users complain that RemoteKmsClient name can be confusing, since this class covers both local and in-server (remote) key wrapping. Still, this class supports only remote KMS servers. But to remove any ambiguity, and to make the API simpler, we will rename this class to LocalWrapKmsClient; it will be used only in rare situations where in-server wrapping in not supported. In all other situations, the basic KmsClient interface will be used directly."
Kafka,SATD Duplication,"[2020-06-01 02:06:06][ijuma][pull:summary][8769]
KAFKA-10074: Improve performance of `matchingAcls`
","[2020-06-01 00:48:18][Ismael Juma][issue:summary][KAFKA-10074:13308606]
Improve performance of `matchingAcls`"
Tvm,SATD Duplication,"[2019-10-14 12:34:09][Animesh Jain][code-comment][bfb811c72c484e00283a20f6b4773659092dfb62]
 TODO - Naive softmax int8 implementation leads to bad accuracy. Currently, we can
 dequantize to FP32 and perform softmax on FP32. We can investigate an integer only softmax
 implementation in future.
","[2019-10-13 04:16:09][zhiics][pull:comment][3900:334262013]
s/MobilenetV2/MobilenetV1

Add a todo for MobilenetV2?"
Calcite,SATD Repayment,"[2015-04-22 15:37:52][Julian Hyde][code-comment][948e45671d04f720a71b79f022e143aa480164d4]
 see [CALCITE-687] Make RemoteDriverTest.testStatementLifecycle thread-safe
","[2015-04-17 18:06:35][Julian Hyde][issue:summary][CALCITE-687:12821946]
Make RemoteDriverTest thread-safe"
Flink,No Relation,"[2020-04-17 08:43:36][twalthr][pull:comment][11290:410080115]
nit: shouldn't `castedExpr`  be called `castExpr` or `sourceExpr` because it has not been casted yet. Otherwise it reads badly in `convertToExpectedType`
","[2020-03-14 01:53:16][Zhenghua Gao][issue:comment][FLINK-16379:17059150]
+1 to merge fromElements to fromValues. 

Construction empty table with Values may be useless because plan with empty LogicalValues could be optimized."
Ignite,SATD Repayment,"[2020-06-22 14:17:49][korlov42][commit][be38229c99dc338abdc93eba76e3d18471341fee]
IGNITE-13166 Flaky H2RowCachePageEvictionTest and IgniteCacheQueryH2IndexingLeakTest tests (#7947)
","[2020-06-19 08:30:54][Konstantin Orlov][issue:summary][IGNITE-13166:13312413]
Flaky H2RowCachePageEvictionTest and IgniteCacheQueryH2IndexingLeakTest tests"
Thrift,SATD Duplication,"[2018-03-30 19:39:49][cwe1ss][pull:summary][1524]
THRIFT-4535: XML docs; code cleanup (tabs->spaces; String->string)
","[2018-03-28 12:43:05][Christian Weiss][issue:summary][THRIFT-4535:13148559]
XML docs; code cleanup (tabs->spaces; String->string)"
Pulsar,SATD Repayment,"[2021-01-28 10:37:25][Enrico Olivelli][code-comment][d1579b7f1be9ab70d74453f9fefaa49d1c48fe00]
 this makes the test easier and predictable
","[2020-12-29 17:12:46][sijie][pull:comment][9083:549782046]
How does this make the test easier and predictable?"
Hadoop,SATD Duplication,"[2019-06-13 22:56:45][bharatviswa504][pull:summary][964]
HDDS-1675. Cleanup Volume Request 2 phase old code.
","[2019-06-13 01:05:10][Bharat Viswanadham][issue:summary][HDDS-1675:13239152]
Cleanup Volume Request 2 phase old code"
Airflow,SATD Repayment,"[2020-12-09 00:03:22][Kamil Breguła][commit][e595d35bf4b57865f930938df12a673c3792e35e]
Simplify publishing of documentation (#12892)

Close: #11423
Close: #11152
","[2020-12-07 19:10:38][mik-laj][pull:summary][12892]
Simplify publishing of documentation"
Hadoop,No Relation,"[2019-08-22 13:08:19][steveloughran][pull:comment][1208:316667252]
If you switch to assertJ it can do more details on the mismatch.
And as the Probe is used through all the test cases can be factored out into its own assertion
","[2019-07-11 13:30:35][Gabor Bota][issue:summary][HADOOP-16423:13244322]
This part is only for logging the inconsistencies.

This issue only covers the part when the walk is being done in the S3 and compares all metadata to the MS.
There will be no part where the walk is being done in the MS and compare it to the S3."
Geode,No Relation,"[2016-10-21 13:25:15][Jared Stewart][code-comment][8bf39571471642beaaa36c9626a61a90bd3803c2]
 delay for first log message is half the time of the interval between subsequent log
 messages
 Terminate the logging thread, recoverycomplete is only true when there are no missing
 colocated regions
","[2016-10-21 13:25:15][Jared Stewart][commit][8bf39571471642beaaa36c9626a61a90bd3803c2]
Added Spotless plugin to enforce formatting standards.
Added Google Java Style guide formatter templates, removed existing formatter templates.

Ran './gradlew clean build' for verification

This closes #268"
Hbase,SATD Repayment,"[2017-12-20 17:58:08][Apekshit Sharma][commit][dc5ec061b5eceaf3d1fdd901263dac100fdccdf1]
HBASE-19491 Improvements to Nighly runs: Fixes findbugs tests, Exclude flaky tests from master.
","[2017-12-12 02:45:59][Apekshit Sharma][issue:summary][HBASE-19491:13124267]
Testing infra improvements
- Exclude flaky tests from nightly master run (Old nightly master run used to exclude flaky tests, but new nightly one which is based on Jenkins stages wasn't using it. Adding it to new nightly job)
- Fixes findbugs check (seems like wasn't working earlier : ""0	findbugs	0m 0s	Findbugs executables are not available."")"
Lucene Solr,No Relation,"[2020-06-29 12:29:49][sigram][pull:comment][1626:446932540]
""Live state"" in SolrCloud terminology is a loaded term ... perhaps it's better to simply use the ""current heap usage"".
","[2020-06-26 11:43:39][Erick Erickson][issue:comment][SOLR-14588:17146249]
I should really have just disabled the test. I don't think reporting circuit breaker info for every request is actually useful, so your solution sounds much better. I have zero investment in keeping the fix I put in place, it was just to reduce the noise until you got some rest ;)."
Reef,SATD Repayment,"[2015-10-15 16:15:17][Mariia Mykhailova][commit][a9fc25862e8b36039adc1a9d2f27108beaeedfd3]
[REEF-523] Add missing Javadoc/triage TODOs in Java code: reef-common

This adds missing Javadoc comments and links to JIRA items in TODOs.
Also fixes several typos.

JIRA:
  [REEF-523](https://issues.apache.org/jira/browse/REEF-523)

Pull request:
  This closes #563
","[2015-10-14 00:17:41][tcNickolas][pull:summary][563]
This adds missing Javadoc comments and links to JIRA items in TODOs.
Also fixes several typos.

JIRA:
  [REEF-523](https://issues.apache.org/jira/browse/REEF-523)

Pull request:
  This closes #"
Flink,SATD Duplication,"[2019-08-02 12:31:02][yuzhao.cyz][code-comment][fab290c4890ab8f18f00bd638989bc1cec9c5f24]
*
	 * SQL dialect that allows some Apache Hive specific grammar.
	 *
	 * <p>Note: We might never support all of the Hive grammar. See the documentation for supported
	 * features.
","[2019-07-25 07:41:22][twalthr][pull:comment][9212:307155699]
""HIVE"" -> ""Hive""
Add ""Note: We might never support all of the Hive grammar. See the documentation for supported features."""
Hadoop,No Relation,"[2019-03-27 04:21:51][toddlipcon][pull:comment][597:269401040]
instead of saving pos/limit here and restoring them later, would it be easier to duplicate() the bytebuffer? then you could easily just set the limit to match 'n' and not worry about it? The loop bounds might become a bit easier, too (while buf.remaining() > 0) etc since you no longer need to consider the passed-in length.
","[2019-03-12 17:27:05][Sahil Takiar][issue:comment][HDFS-3246:16790786]
[~openinx] created a PR: https://github.com/apache/hadoop/pull/597

The latest version fixes a few issues reported by Hadoop QA, and adds some more Javadocs to {{CryptoInputStream}} to make the changes easier to understand.

Let me see if I can find someone more comfortable with libhdfs to review the libhdfs code."
Flink,No Relation,"[2020-03-24 10:44:34][Andrey Zagrebin][commit][813f590f9d92d154ec286377dfc12401aeae1b04]
[FLINK-16225] Improve metaspace out-of-memory error handling thrown in user code

Improve error message, explaining the possible reasons and ways to resolve.
In case of metaspace OOM error, try a graceful TM shutdown.

This closes #11408.
","[2020-03-20 11:52:35][azagrebin][pull:comment][11408:395587291]
I added the Metaspace assumption test. It is a bit tricky to make sure and load all the classes to measure the Metaspace usage so that OOM error is thrown in expected class loading. It was stable locally. If this ever leads to an instability or you also have more doubts, I can remove the commit."
Hadoop,No Relation,"[2006-11-14 22:35:22][Doug Cutting][code-comment][93c41fd87f0f227a9020fc4b60737b8eda01175f]
 Work around backward compatibility issue on IRIX 6.5. On IRIX 6.4+, sh
 is ksh but when the shell is invoked as ""sh"" and the current value of
 the _XPG environment variable is not equal to 1 (one), the special
 positional parameter $0, within a function call, is the name of the
 function.
","[2006-10-13 21:21:01][Owen O'Malley][issue:comment][HADOOP-538:12442097]
Just started looking through the patch, but please set your emacs and/or eclipse to use spaces instead of tabs. It makes it hard to read when the indentation isn't even. Thanks!"
Geode Native,No Relation,"[2017-02-22 17:09:22][pivotal-jbarrett][pull:comment][24:102517638]
I would only suggest avoiding long lines in the CMake files by putting each property on a new line.

```
set_target_properties(apache-geode PROPERTIES
    PUBLIC_HEADER ""${PUBLIC_HEADERS}""
    OUTPUT_NAME ${PRODUCT_LIB_NAME})
```
","[2017-02-17 22:49:33][Ernest Burghardt][issue:summary][GEODE-2508:13044139]
Generize lib naming"
Airflow,No Relation,"[2019-11-12 23:08:40][feluelle][pull:comment][4751:345494522]
I absolutely agree with what Ash is saying. The documentation doesn’t match the implementation and the change would probably need a separate ticket, because it changes the basic concept or meaning of finished tasks.
","[2019-01-01 11:41:09][Amichai Horvitz][issue:summary][AIRFLOW-3607:13207157]
I came across the TODO in airflow/ti_deps/deps/trigger_rule_dep (line 52) that says instead of checking the query for every task let the tasks report to the dagrun. I have a dag with many tasks and the delay between tasks can rise to 10 seconds or more, I already changed the configuration, added processes and memory, checked the code and did research, profiling and other experiments. I hope that this change will make a drastic change in the delay. I would be happy to discuss this solution, the research and other solutions for this issue.  

Thanks"
Iceberg,SATD Duplication,"[2020-08-05 13:46:32][Jingsong Lee][code-comment][fc5e3e5bbde66f0d5c66c4d980d47b9fd1f19f63]
 TODO add AVRO unit test once the RowDataWrapper are ready.
","[2020-08-05 04:22:59][JingsongLi][pull:comment][1232:465463522]
Removed this and add comment:
`TODO add AVRO once the RowDataWrapper are ready.`"
Flink,No Relation,"[2018-05-31 11:45:18][StefanRRichter][pull:comment][5582:192071512]
This method name is not so helpful. It does not tell us anything about what is evaluated. Maybe a javadoc on the public methods would be helpful.
","[2020-12-28 09:15:50][ming li][issue:comment][FLINK-8790:17255484]
Hi, [~sihuazhou]. At present, we use the incremental state of rocksdb to restore when scale up, and found that it is very slow to traverse the state of the corresponding keygroup. Can we now use rocksdb.deleteRange for state clipping?"
Hadoop,No Relation,"[2016-01-19 16:56:15][Zhijie Shen][code-comment][68cbb32e0a4e527f4c02a30c10c3e0db94ee444a]
 TODO: support time series storage
","[2015-05-07 20:45:57][Li Lu][issue:comment][YARN-3134:14533352]
Thanks [~zjshen] and [~junping_du] for the review! In this patch I removed the unrelated columns in Phoenix tables. I also reordered the primary keys so that records for the same user are located closely (consistent with the hbase implementation). 

For the loading cache related issues, there are multiple ways to implement the connection cache, but I think it's hard to reach a concrete conclusion before we actually try it out. So shall we firstly push the current design in, and I'll open a separate JIRA to trace the performance tuning process? 

We've also got some code cleanup work to do, but I put them in a priority lower than getting the performance evaluation done for now."
Arrow,No Relation,"[2019-01-08 19:41:01][Pindikura Ravindra][code-comment(deleted)][bfe6865ba8087a46bd7665679e48af3a77987cef]
 underlying buffer should be able to store 16 values
","[2019-01-08 19:41:01][Pindikura Ravindra][commit][bfe6865ba8087a46bd7665679e48af3a77987cef]
ARROW-4147: [Java] reduce heap usage for varwidth vectors (#3298)

* ARROW-4147: reduce heap usage for varwidth vectors

- some code reorg to avoid duplication
- changed the default initial alloc from 4096 to 3970

* ARROW-4147: [Java] Address review comments

* ARROW-4147: remove check on width to be <= 16:

* ARROW-4147: allow initial valueCount to be 0.

* ARROW-4147: Fix incorrect comment on initial alloc"
Brooklyn Server,SATD Repayment,"[2015-10-14 17:11:07][Svetoslav Neykov][code-comment(deleted)][73f0b448705eaba39a446f9bd8d5e4727129976d]
 TODO Not CAMP specific, move to core, to be reused by other parsers
","[2015-10-14 17:11:07][Svetoslav Neykov][commit][73f0b448705eaba39a446f9bd8d5e4727129976d]
Move ServiceSpecResolver and its implementations to core

To be reused by other plan parsers."
Trafficcontrol,No Relation,"[2020-02-17 10:09:41][mattjackson220][code-comment][18fe13ac638557b5532813bce8ab3ad2d964fe49]
 Add the zero block at position 2 so that it will be assigned a
 zero reference in the lookup blocks.
 TODO: always do this? This would allow us to remove a check from
 the trie lookup, but at the expense of extra space. Analyze
 performance for unicode/norm.
","[2019-10-21 19:18:58][ocket8888][pull:comment][3534:337194113]
""fqdn"" is an initialism (and an `abbr`, should you feel so inclined), should be capitalized. Though, alternatively, I don't think it's necessary to explain how it's stored."
Ignite,SATD Duplication,"[2019-04-04 13:25:46][denis-chudov][pull:summary][6407]
IGNITE-10344 Speed up cleanupRestoredCaches
","[2018-11-20 13:40:46][Pavel Voronkin][issue:summary][IGNITE-10344:13199607]
Speed up cleanupRestoredCaches"
Hive,SATD Repayment,"[2018-12-06 10:51:05][Zoltan Haindrich][commit][8b968c7e46929c3af86da46e316faeb8d17f03df]
HIVE-20985: If select operator inputs are temporary columns vectorization may reuse some of them as output (Zoltan Haindrich reviewed by Teddy Choi)

Signed-off-by: Zoltan Haindrich <kirk@rxd.hu>
","[2018-11-29 16:35:02][Zoltan Haindrich][issue:summary][HIVE-20985:13201391]
If select operator inputs are temporary columns vectorization may reuse some of them as output"
Carbondata,SATD Duplication,"[2016-07-08 14:33:36][ravipesala][pull:summary][32]
[CARBONDATA-47]Simplified datasource format name and storage name in carbondata
","[2016-07-08 14:05:39][Ravindra Pesala][issue:summary][CARBONDATA-47:12987795]
Simplified datasource format name and storage name in carbondata"
Arrow,No Relation,"[2020-05-28 18:10:01][Wes McKinney][commit][e8b317ab2b5dceedf1d21e0169a5b20c05648f18]
ARROW-8926: [C++] Improve arrow/compute/*.h comments, correct typos and outdated language

I also fixed the `Arity` ctor to be explicit which I thought I'd done in #7240 but it is taken care of here.

Closes #7264 from wesm/ARROW-8926

Authored-by: Wes McKinney <wesm+git@apache.org>
Signed-off-by: Wes McKinney <wesm+git@apache.org>
","[2020-05-21 14:33:08][pitrou][pull:comment][7240:428689621]
High-level question: isn't `Cast<ValueType>(Dict(indices, dictionary))` the same as `Take(dictionary, indices)`? So the Take implementation could ideally be reused without additionally hassle."
Systemds,SATD Repayment,"[2018-04-20 00:02:12][Matthias Boehm][code-comment][ba06d0534ba07a03ee1a9ed15c2034043b28c928]
for a special case of CSR inputs where all non-empty rows are dense, we can
create a shallow copy of the values arrays to a ""dense"" block and perform
tsmm with the existing dense block operations w/o unnecessary gather/scatter
","[2018-04-20 00:02:12][Matthias Boehm][commit][ba06d0534ba07a03ee1a9ed15c2034043b28c928]
[SYSTEMML-2261] Performance sparse tsmm (CSR with empty/dense rows)

This patch significantly improves performance for sparse tsmm over
special sparse matrices in CSR format, where all rows are either empty
or completely dense. The trick is that we can simply take the CSR values
array, count the number of dense rows, and use it as a ""dense"" block for
existing dense tsmm operations. This greatly improves performance
because existing dense operations usually perform much close at peak
performance due to better cache-conscious implementations and avoiding
unnecessary gather and scatter operations."
Zookeeper,SATD Duplication,"[2017-07-07 22:56:15][andschwa][pull:summary][306]
ZOOKEEPER-2841: ZooKeeper public include files leak porting changes
","[2017-07-07 22:48:30][Andrew Schwartzmeyer][issue:summary][ZOOKEEPER-2841:13085619]
ZooKeeper public include files leak porting changes"
Trafficcontrol,No Relation,"[2017-11-27 16:55:47][Dan Kirkwood][code-comment(deleted)][7d9b535eb02f873249dcbdceb584559391cbc187]
 This type matches C's ""struct flock"" defined in /usr/include/sys/fcntl.h.
 TODO: move this into the standard syscall package.
","[2017-11-27 16:55:47][Dan Kirkwood][commit][7d9b535eb02f873249dcbdceb584559391cbc187]
remove unneeded dependencies"
Pulsar,No Relation,"[2018-11-30 12:09:10][Boyang Jerry Peng][commit][015e2e5174a1e38167deb47411e598c73d424a19]
Improve and correct status for function, sources, sinks (#3088)

* Improve and correct status for function, sources, sinks

* cleaning up unused protobuf

* cleaning up

* fixing unit tests

* change getstatus -> status

* fix integration tests

* fix integration tests for sources and sinks
","[2018-11-29 02:43:41][jerrypeng][pull:comment][3088:442685798]
Not sure why github isn't showing renaming (and few changes) of FunctionsImpl -> FunctionsImplBase as a simple diff.  Perhaps this can help:

http://www.mergely.com/vNtCDbvV/"
Calcite,SATD Repayment,"[2019-05-06 09:34:13][yuzhao.cyz][code-comment][247c7d4f76a3d7d862ae6f4148cc8e6556efa497]
 Simplify the argument first,
 call ourselves recursively to see whether we can make more progress.
 For example, given
 ""(CASE WHEN FALSE THEN 1 ELSE 2) IS NULL"" we first simplify the
 argument to ""2"", and only then we can simplify ""2 IS NULL"" to ""FALSE"".
","[2019-05-05 06:44:17][danny0405][pull:summary][1198]
[CALCITE-3049] Simplify the operand first for IS NULL and IS NOT NULL"
Netbeans,SATD Repayment,"[2019-08-07 22:15:57][Junichi Yamamoto][commit][2de87ef6c6dc94d047178181f4a7c9ee736b7a10]
[NETBEANS-2910] Suggest using brackets for accessing arrays instead of curly braces
","[2019-07-29 03:36:46][Junichi Yamamoto][issue:summary][NETBEANS-2910:13247565]
Suggest using brackets for accessing arrays instead of curly braces"
Tajo,SATD Duplication,"[2014-12-26 12:15:05][charsyam][pull:summary][321]
TAJO-1270 Fix typos
","[2014-12-26 12:14:23][DaeMyung Kang][issue:summary][TAJO-1270:12763815]
Fix typos"
Nifi Minifi Cpp,No Relation,"[2019-05-24 09:31:35][Daniel Bakai][code-comment][e09a5d41d47823437c4dd064f89f7c8cf7e5ad88]

   * We create the would-be dot renamed file in the target, and because we don't overwrite temporary files,
   * if we really use a dot renamed temporary file, we should fail.
","[2019-05-17 10:33:36][phrocker][pull:comment][558:285070214]
curl_global_init is not thread safe. The singleton pattern appears to model that which is in http-curl, which is lazily initialized."
Zookeeper,No Relation,"[2019-10-21 14:45:48][anmolnar][pull:comment][1106:337060054]
Why not using `ConcurrentHashMap` instead of synchronizing everywhere?
","[2017-08-16 19:49:36][Jordan Zimmerman][issue:comment][ZOOKEEPER-1416:16129317]
Regarding the performance numbers above... They should be balanced by the enormous effort Curator's TreeCache class goes through to emulate Persistent/Recursive watches (which is essentially what it does). I argue that this change will be much more performant and efficient than what TreeCache is doing now."
Incubator Doris,SATD Duplication,"[2020-04-27 13:13:20][HappenLee][pull:summary][3405]
 [Profile] Make running profile clearer and more intuitive to improve usability
","[2020-04-21 10:57:00][HappenLee][issue:summary][3365]
[Proposal] Make running profile clearer and more intuitive to improve usability"
Hbase,SATD Repayment,"[2014-07-15 23:14:14][stack][commit][8a481b87b57035aca9f6ff2833104eb073e2e889]
HBASE-11520 Simplify offheap cache config by removing the confusing ""hbase.bucketcache.percentage.in.combinedcache""
","[2014-07-15 20:42:57][Michael Stack][issue:summary][HBASE-11520:12727466]
Simplify offheap cache config by removing the confusing ""hbase.bucketcache.percentage.in.combinedcache"""
Hudi,SATD Repayment,"[2020-10-01 14:25:29][Mathieu][commit][1f7add92916c37b05be270d9c75a9042134ec506]
[HUDI-1089] Refactor hudi-client to support multi-engine (#1827)

- This change breaks `hudi-client` into `hudi-client-common` and `hudi-spark-client` modules 
- Simple usages of Spark using jsc.parallelize() has been redone using EngineContext#map, EngineContext#flatMap etc
- Code changes in the PR, break classes into `BaseXYZ` parent classes with no spark dependencies living in `hudi-client-common`
- Classes on `hudi-spark-client` are named `SparkXYZ` extending the parent classes with all the Spark dependencies
- To simplify/cleanup, HoodieIndex#fetchRecordLocation has been removed and its usages in tests replaced with alternatives

Co-authored-by: Vinoth Chandar <vinoth@apache.org>
","[2020-09-24 06:51:07][vinothchandar][pull:comment][1827:698151969]
@wangxianghu Looks like we have much less class splitting now. I want to try and reduce this further if possible. 
If its alright with you, I can take over from here, make some changes and push another commit on top of yours, to try and get this across the finish line. Want to coordinate so that we are not making parallel changes,"
Hadoop,No Relation,"[2012-02-17 18:19:31][Aaron Myers][code-comment(deleted)][53b7d6c6bc23d7e723109c3b41e2ce6746ffbaba]
 Skip by reading the data so we stay in sync with checksums.
 This could be implemented more efficiently in the future to
 skip to the beginning of the appropriate checksum chunk
 and then only read to the middle of that chunk.
","[2012-03-14 19:28:25][Todd Lipcon][issue:comment][HDFS-1623:13229534]
Hi Avik. The multi-SBN approach is actually very nearly implemented by what's in trunk. The main missing pieces are actually in the more trivial bits -- for example, we have a few bits of the code that look up ""the other node"" for operations like triggering checkpoints. Those would have to be modified a bit to ""look up the active node"" instead. But nothing fundamental or really difficult."
Nifi Minifi Cpp,SATD Duplication,"[2020-06-19 09:34:22][nghiaxlee][pull:summary][819]
MINIFICPP-1265 - Adding missing license header for Windows ext
","[2020-06-19 08:10:09][Nghia Le][issue:summary][MINIFICPP-1265:13312410]
Adding missing license header for Windows processor"
Groovy,SATD Repayment,"[2019-08-26 13:50:12][Daniel Sun][code-comment(deleted)][8a417f9fa52f0db2b7b48ab514decd7f67c7b010]
 TODO: Convert to functional interface?
","[2019-08-26 13:50:12][Daniel Sun][commit][8a417f9fa52f0db2b7b48ab514decd7f67c7b010]
Minor refactoring: Convert `ProgressCallback` to functional interface"
Incubator Pinot,SATD Duplication,"[2019-08-15 15:26:29][Jialiang Li][code-comment][4f8ffc760f5187883a7ea7561c536dca2d0957b8]
 This registration is not needed when the leadControllerResource is enabled.
 However, the resource can be disabled sometime while the cluster is in operation, so we keep it here. Plus, it does not add much overhead.
 At some point in future when we stop supporting the disabled resource, we will remove this line altogether and the logic that goes with it.
","[2019-07-17 21:22:44][mcvsubbu][pull:comment][4323:304647565]
add a comment that this registration is not needed if the resource is enabled. However, the resource can be disabled sometime while the cluster is in operation, so we keep it here. Also, it does not add much overhead. At some point in future when we stop supporting the disabled resoiurce, we will remove this line altogether and the logic that goes with it."
Commons Lang,No Relation,"[2009-06-23 06:15:50][Henri Yandell][code-comment][c404121979002fca1140b90fb909157549de286f]
 TODO: Replace with a RegexTranslator. That should consume the number of characters the regex uses up?
","[2009-06-30 06:37:23][Henri Yandell][issue:comment][LANG-505:12725491]
Performance fixed. At least the speed is back down to 0.5 seconds, which is close enough for now."
Hadoop,SATD Repayment,"[2011-08-19 03:57:48][Michael Stack][code-comment][4c797e7ba95360e0b09ae0d256fa6ae91de8f853]
 If live datanode count is lower than the default replicas value,
 RollWriter will be triggered in each sync(So the RollWriter will be
 triggered one by one in a short time). Using it as a workaround to slow
 down the roll frequency triggered by checkLowReplication().
","[2011-07-22 06:14:14][Jieshan Bean][issue:comment][HBASE-4095:13069404]
I don't know why it got blocked for a long time. The rollWriter must get the lock of this.cacheFlushLock, if the RS's flushing now, the rollWriter can't be executed in time(The lock is carried by CacheFlush threads).

I think use tryLock is better(If it can't get the lock in several second, we just skip it this time).


  public long startCacheFlush() {
    this.cacheFlushLock.lock();
    return obtainSeqNum();
  }"
Camel,SATD Repayment,"[2016-01-05 17:38:53][Claus Ibsen][commit][df701cc3776833c98a3e2b53f86dfd8f01eabe4b]
CAMEL-9482: Removed option which has been deprecated for a very long time
","[2016-01-05 16:36:32][Claus Ibsen][issue:summary][CAMEL-9482:12927308]
Remove some old options that has been deprecated forever"
Reef,SATD Duplication,"[2015-10-14 00:17:41][tcNickolas][pull:summary][563]
[REEF-523] Add missing Javadoc/triage TODOd in Java code: reef-common
","[2015-07-29 19:44:16][Mariia Mykhailova][issue:summary][REEF-523:12850032]
Add missing Javadoc comments/triage TODO notes in Java code: reef-common"
Incubator Pinot,No Relation,"[2017-03-13 11:58:25][Xiaotian Jiang][code-comment][78672e145bc2d987b03518ae665844598a4f0b08]
 Remove the temp file
 When the file is copied to instead of renamed to the new file, the temp file might be left in the dir
","[2017-03-12 04:15:22][mayankshriv][pull:comment][1136:105548412]
s/Get/Got. Add more information, eg what was the code doing when this happened."
Samza,SATD Duplication,"[2017-05-08 13:29:23][Prateek Maheshwari][code-comment][ad41f9a7fdf30c8b1d91853cbdf70dbef664340e]
 TODO fix in SAMZA-1183
 @Test
","[2017-05-08 13:29:23][Prateek Maheshwari][commit][ad41f9a7fdf30c8b1d91853cbdf70dbef664340e]
Disabled a few flaky tests and added corresponding tickets to fix.

Author: Prateek Maheshwari <pmaheshw@linkedin.com>

Reviewers: Jacob Maes <jmaes@linkedin.com>

Closes #171 from prateekm/disable-flaky-test"
Arrow,SATD Repayment,"[2020-01-02 07:24:58][Kazuaki Ishizaki][commit][cec93999fdef8fe9c83e78ec9f9cc53f9341d71c]
ARROW-7482: [C++] Fix typos

This PR fixes typos in files under `cpp/src/arrow` directory

Closes #6110 from kiszk/ARROW-7482 and squashes the following commits:

b5dc3f012 <Kazuaki Ishizaki> fix lint errors
bb39903f4 <Kazuaki Ishizaki> address review comment
b291f2e01 <Kazuaki Ishizaki> fix lint errors
224796723 <Kazuaki Ishizaki> fix typo

Authored-by: Kazuaki Ishizaki <ishizaki@jp.ibm.com>
Signed-off-by: Sutou Kouhei <kou@clear-code.com>
","[2019-12-31 17:49:14][Kazuaki Ishizaki][issue:summary][ARROW-7482:13277039]
[C++] Fix typos"
Drill,SATD Repayment,"[2018-10-10 09:48:09][Sorabh Hamirwasia][commit][d5146c43986f09f132f4e96966082732a3740181]
DRILL-6766: Lateral Unnest query : IllegalStateException - rowId in right batch of lateral is smaller than rowId in left batch being processed
Note: Issue was in StreamingAgg where if output from one or multiple input batch was splitting into multiple output batch, then remaining input
records were discarded after producing first output batch
closes #1490
","[2018-10-04 18:32:59][sohami][pull:summary][1490]
DRILL-6766: Lateral Unnest query : IllegalStateException - rowId in right batch of lateral is smaller than rowId in left batch being processed"
Myfaces Tobago,SATD Repayment,"[2014-03-05 18:39:25][Udo Schnurpfeil][commit][754426b47430927dd8f5b8ae895054bb6086f4d9]
TOBAGO-1373 - Better JavaScript logging: using browser console and fill browser gaps.
","[2014-03-03 08:33:29][Udo Schnurpfeil][issue:summary][TOBAGO-1373:12698374]
Better JavaScript logging: using browser console and fill browser gaps."
Phoenix,No Relation,"[2018-07-18 18:16:04][Thomas D'Silva][code-comment][4d6dbf9cb20a8299e9484c0d75aceb5e4862ea12]
 if an indexed column was dropped in an ancestor then we
 cannot use this index an more
 TODO figure out a way to actually drop this view index
","[2017-03-21 21:53:48][churro morales][issue:comment][PHOENIX-3534:15935402]
Hey folks I thought I would add a doc to document this approach and what considerations we should be making. 

https://docs.google.com/document/d/16p1FZReNHdQrvUj0NzLJ-Zx79J8-UE8Ku8bRPoql-Pc/edit?usp=sharing"
Drill,No Relation,"[2020-02-27 03:17:58][paul-rogers][pull:comment][1988:384893271]
Tried to move to a test. Code does not work. Functionality itself tested indirectly in new registry unit tests, so just deleted the method.
","[2020-02-17 18:51:59][Paul Rogers][issue:summary][DRILL-7590:13285839]
The plugin registry connects configurations, stored in ZK, with implementations, which are Java classes. The registry handles a large number of tasks including:

* Populating ""bootstrap"" plugin configurations and handling upgrades.
* Reading from, and writing to, the persistent store in ZK.
* Handling ""normal"" (configured) plugins and special system plugins (which have no configuration.)
* Handle format plugins which are always associated with the DFS storage plugin.
* And so on.

The code has grown overly complex. As we look to add a new, cleaner plugin mechanism, we will start by cleaning up what we have to allow the new mechanism to be one of many."
